RegionName	Median_Sale_Price	Direction
Auburn	517400	South
Bellevue	1182995	East
Bonney Lake	558463	South
Bothell	831162	North
Buckley	528948	South
Burien	578261	South
Covington	551438	South
Darrington	367764	North
Des Moines	521147	South
Dupont	475084	South
Duvall	815365	East
Edmonds	795218	North
Enumclaw	553460	South
Everett	556979	North
Federal Way	511980	South
Fife	483542	South
Gig Harbor	686460	South
Graham	501187	South
Hunts Point	6707173	East
Index	335629	North
Kenmore	862116	North
Kent	548973	North
Kirkland	968809	East
Lakewood	442778	South
Lynnwood	656816	North
Maple Valley	654202	South
Mercer Island	1930559	East
Mill Creek	786419	North
Mountlake Terrace	593722	North
Mukilteo	785220	North
Newcastle	1038554	South
Orting	474858	South
Parkland	407015	South
Puyallup	491888	South
Redmond	1102611	East
Renton	635611	South
Sammamish	1231192	East
Seatac	506926	Proper
Seattle	863058	Proper
Shoreline	749889	North
Snohomish	768741	North
Snoqualmie	885478	North
South Hill	482074	South
Spanaway	431670	South
Tacoma	443505	South
University Place	565056	South
Waller	519225	South
White Center	562590	South
Woodinville	1058076	North
Woodway	1866808	North
Yarrow Point	3546218	East
